"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","35 to 44 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80529436","1.27.4.1.4.1","100.0","","","","1"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","35 to 44 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80529437","1.27.4.1.5.1","409300","","","","0"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","45 to 54 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80529454","1.27.5.1.4.1","100.0","","","","1"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","45 to 54 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80529455","1.27.5.1.5.1","675800","","","","0"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","55 to 64 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80529472","1.27.6.1.4.1","100.0","","","","1"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","55 to 64 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80529473","1.27.6.1.5.1","873400","","","","0"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","65 years and older","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v80529490","1.27.7.1.4.1","100.0","","","","1"
"2023","Canada","2016A000011124","Net worth (total assets less total debt)","65 years and older","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v80529491","1.27.7.1.5.1","738900","","","","0"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 65 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114978835","16.3.2.1.4.1","63.5","","","","1"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 65 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114978836","16.3.2.1.5.1","52000","","","","0"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114978853","16.3.3.1.4.1","57.4","","","","1"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114978854","16.3.3.1.5.1","22000","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","35 to 44 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114978871","16.3.4.1.4.1","64.3","","","","1"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","35 to 44 years","Economic families and persons not in an economic family","Median value for those holding asset or debt","Estimate","2023 constant dollars","449","units","0","v114978872","16.3.4.1.5.1","40000","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","45 to 54 years","Economic families and persons not in an economic family","Percentage holding asset or debt","Estimate","Percentage","242","units","0","v114978889","16.3.5.1.4.1","64.8","","","","1"
